"singh"	[[5, 2]]
"sismo"	[[1, 1], [2, 1]]
"sistema"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]
"sitio"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"situaci\u00e3\u00b3n"	[[7, 1]]
"situaci\u00f3n"	[[1, 1], [2, 1]]
"so"	[[3, 5], [4, 5], [5, 5], [6, 5], [7, 4]]
"sobre"	[[1, 1], [2, 1], [4, 1], [5, 2], [7, 1]]
"sociedad"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 4], [6, 2], [7, 2]]
"solo"	[[4, 1], [5, 1]]
"son"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"sorprendido"	[[3, 1]]
"squetbol"	[[3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"squetbolrugbytenismotorestad\u00e3"	[[7, 1]]
"sticasadlpm\u00e3"	[[7, 1]]
"stico"	[[4, 1]]
"store"	[[1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 4]]
"su"	[[1, 7], [2, 7], [3, 6], [4, 9], [5, 16], [6, 7], [7, 2]]
"suceso"	[[6, 1]]
"sucia"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"suelo"	[[7, 1]]
"suficiente"	[[6, 1]]
"sugiere"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"sujeto"	[[5, 1]]
"suministro"	[[1, 1], [2, 1], [3, 3]]
"supermercados"	[[1, 1], [2, 1]]
"sur"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 3]]
"sus"	[[1, 3], [2, 3], [3, 2], [4, 5], [5, 4], [6, 2]]
"suscr\u00e3"	[[3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]
"suspenden"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 2]]
"suspender"	[[7, 1]]
"suspendido"	[[7, 3]]
"suspensi\u00e3\u00b3n"	[[7, 2]]
"suspensi\u00f3n"	[[1, 1], [2, 1]]
"t\u00e3"	[[4, 1]]
"tamari"	[[7, 1]]
"tambi\u00e3"	[[4, 3], [5, 3], [7, 1]]
"tanto"	[[4, 2]]
"tarapac\u00e1regi\u00f3n"	[[1, 1], [2, 1]]
"tbolb\u00e3"	[[7, 1]]
"te"	[[4, 1]]
"team"	[[4, 1]]
"tecnolog\u00e3"	[[3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"tecnolog\u00eda"	[[1, 2], [2, 2]]
"teji"	[[7, 1]]
"temas"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"temprano"	[[3, 1]]
"temuco"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"ten\u00e3"	[[7, 1]]
"tendencias"	[[1, 4], [2, 4], [3, 4], [4, 4], [5, 4], [6, 4], [7, 3]]
"tendr\u00e1n"	[[1, 3], [2, 3]]
"tendr\u00e3"	[[3, 2], [4, 2], [5, 2], [6, 2]]
"tenemos"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"tener"	[[5, 2]]
"tenis"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"terceros"	[[1, 1], [2, 1]]
"termin\u00e3\u00b3"	[[3, 2], [4, 2], [5, 2], [6, 2]]
"termin\u00f3"	[[1, 3], [2, 3]]
"termina"	[[4, 1]]
"terminaba"	[[4, 1]]
"terremoto"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"terreno"	[[7, 1]]
"terrenos"	[[5, 2]]
"text"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"the"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"thelulosshow"	[[4, 1]]
"thiele"	[[1, 1], [2, 1], [3, 2]]
"ticas"	[[3, 1], [4, 3], [5, 1], [6, 1]]
"tico"	[[3, 1], [4, 1], [5, 1], [6, 1]]
"tiempo"	[[1, 4], [2, 4], [3, 4], [4, 4], [5, 3], [6, 4], [7, 4]]
"tiempos"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"tienen"	[[4, 1]]
"tierra"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]
"tipo"	[[6, 1]]
"tips"	[[5, 1]]
"tira"	[[4, 2]]
"tiro"	[[1, 1], [2, 1]]
"todav\u00e3"	[[4, 1]]
"todo"	[[3, 1], [4, 3]]
"todos"	[[4, 6]]
"toh\u00e1"	[[1, 1], [2, 1]]
"toma"	[[1, 1], [2, 1]]
"topan"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"torno"	[[4, 1], [5, 1]]
"total"	[[1, 1], [2, 1], [3, 2]]
"totalidad"	[[3, 1]]
"totalmente"	[[3, 1]]
"tr\u00e3"	[[4, 1]]
"trabajos"	[[3, 1]]
"traer"	[[4, 1]]
"traici\u00e3\u00b3n"	[[3, 1], [4, 1], [5, 6], [6, 1]]
"traici\u00f3n"	[[1, 1], [2, 1]]
"traigan"	[[4, 1]]
"tramo"	[[7, 1]]
"transfiri\u00e3\u00b3"	[[3, 1], [4, 1], [5, 1], [6, 1]]
"transfiri\u00f3"	[[1, 1], [2, 1]]
"tras"	[[1, 6], [2, 6], [3, 6], [4, 5], [5, 4], [6, 6], [7, 2]]
"traslad\u00e3\u00b3"	[[6, 1]]
"trasladado"	[[7, 1]]
"trato"	[[5, 1]]
"traumatizado"	[[7, 1]]
"tribunal"	[[5, 1]]
"trica"	[[3, 2], [4, 2], [5, 2], [6, 2]]
"trinidad"	[[4, 1]]
"triple"	[[1, 1], [2, 1], [4, 1], [5, 1]]
"trompa"	[[4, 1]]
"trompita"	[[4, 1]]
"tu"	[[1, 10], [2, 10], [3, 10], [4, 10], [5, 9], [6, 10], [7, 10]]
"turismo"	[[1, 2], [2, 2], [3, 3], [4, 2], [5, 2], [6, 2], [7, 1]]
"turistas"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"tus"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"tuvo"	[[3, 1], [7, 1]]
"tv"	[[1, 2], [2, 2], [3, 2], [4, 4], [5, 2], [6, 2], [7, 2]]
"twitter"	[[4, 4], [7, 1]]
"typesetting"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"ubicado"	[[6, 1]]
"uble"	[[3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"ubleb\u00e3"	[[3, 1], [4, 1], [5, 1], [6, 1]]
"uf"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"un"	[[1, 5], [2, 5], [3, 5], [4, 7], [5, 12], [6, 6], [7, 7]]
"una"	[[1, 7], [2, 7], [3, 8], [4, 9], [5, 15], [6, 7], [7, 1]]
"unido"	[[5, 2]]
"united"	[[7, 1]]
"uno"	[[3, 1], [6, 1]]
"uploads"	[[3, 3]]
"usar"	[[3, 1]]
"ustedes"	[[4, 1]]
"usu"	[[1, 1], [2, 1]]
"utm"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"uu"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"v\u00e3"	[[6, 3]]
"v\u00edctimas"	[[1, 1], [2, 1]]
"va"	[[4, 1]]
"valdivia"	[[1, 5], [2, 5], [3, 4], [4, 4], [5, 4], [6, 4], [7, 2]]
"valentina"	[[1, 1], [2, 1]]
"valpara\u00e3"	[[3, 5], [4, 5], [5, 5], [6, 5], [7, 4]]
"valpara\u00edso"	[[1, 5], [2, 5]]
"valpara\u00edsoregi\u00f3n"	[[1, 1], [2, 1]]
"van"	[[1, 1], [2, 1], [3, 1], [4, 9], [5, 1], [6, 1]]
"varias"	[[1, 1], [2, 1]]
"varios"	[[5, 1]]
"ve"	[[4, 2]]
"vecino"	[[3, 1]]
"vecinos"	[[3, 1], [6, 1]]
"vegetarianismo"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"vehicular"	[[1, 3], [2, 3], [3, 2], [4, 2], [5, 2], [6, 2]]
"ven"	[[5, 1]]
"vengan"	[[4, 2]]
"venir"	[[4, 2]]
"venta"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"verdadero"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"verg\u00e3\u00bcenza"	[[3, 1]]
"vest\u00e3"	[[5, 1]]
"vestuarios"	[[7, 1]]
"vi"	[[4, 1]]
"vi\u00e3"	[[3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"vi\u00f1a"	[[1, 2], [2, 2]]
"viajan"	[[1, 1], [2, 1]]
"viajando"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]
"viajes"	[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]
"victoria"	[[7, 1]]
"vida"	[[1, 2], [2, 2], [3, 2], [4, 2], [5, 2], [6, 2], [7, 2]]
"video"	[[5, 1]]
"videos"	[[4, 2]]
"vieja"	[[4, 1]]
"vienen"	[[1, 1], [2, 1], [3, 1], [4, 2], [5, 1], [6, 1]]
"viernes"	[[3, 1]]
"vieron"	[[3, 1]]
